name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Sherzod K.,$80,5.0,447,Not found,None,False,False
Ivan F.,$90,5.0,52,Not found,None,False,False
Rinat R.,$85.55,5.0,498,Not found,None,False,False
Muhsin K.,$82.22,4.9,97,Not found,None,False,False
Aleksandr V.,$68.88,4.9,92,Not found,None,False,False
Anton B.,$70,5.0,35,Not found,None,False,False
Danzan A.,$66.66,5.0,78,Not found,None,False,False
Aleksandr D.,$58.88,4.9,18,Not found,None,False,False
Roman K.,$80,5.0,487,Not found,None,False,False
Gregory K.,$88.88,5.0,684,Not found,None,False,False
Oleg C.,$58.88,5.0,60,Not found,None,False,False
Buyan D.,$127.77,5.0,712,Not found,None,False,False
Aleksandr O.,$77.77,5.0,157,Not found,None,False,True
Firdavs A.,$46.66,4.8,13,Not found,None,False,False
Lamiia K.,$77.77,4.8,20,Not found,None,False,False
