name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Roman K.,$111.11,5.0,537,Not found,None,False,False
Ivan F.,$111.11,5.0,103,Not found,None,False,False
Andrii K.,$61.11,5.0,86,Not found,None,False,False
Oleksandr T.,$88.88,5.0,103,Not found,None,False,False
Roman M.,$77.77,5.0,153,Not found,None,False,False
Viktor R.,$57.77,5.0,224,Not found,None,False,False
Lamiia K.,$88.88,4.9,80,Not found,None,False,False
Muhsin K.,$81.11,5.0,163,Not found,None,False,False
Victor S.,$61.11,5.0,47,Not found,None,False,False
Luis R.,$80,5.0,468,Not found,None,False,False
Ben K.,$65.55,5.0,16,Not found,None,False,False
Alex B.,$77.77,5.0,100,Not found,None,False,False
Valentyn M.,$90,4.9,361,Not found,None,False,False
Buyan D.,$111.11,5.0,739,Not found,None,False,False
Nikita R.,$55.55,5.0,47,Not found,None,True,False
