name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Denis P.,$82.59,5.0,450,Not found,None,True,False
Alisher K.,$92.91,5.0,886,Not found,None,False,False
Paul K.,$82.59,4.9,362,Not found,None,False,True
Vasyl N.,$62.97,5.0,36,Not found,None,False,False
Stepan B.,$75.36,5.0,281,Not found,None,True,False
Roman M.,$74.33,4.9,237,Not found,None,False,False
Youssof S.,$45.42,5.0,21,Not found,None,False,False
Stephen H.,$47.49,5.0,96,Not found,None,False,False
Andrei K.,$41.29,5.0,32,Not found,None,False,False
An K.,$68.13,4.9,74,Not found,None,False,False
Nazarii O.,$62.97,5.0,122,Not found,None,False,False
Alexandro L.,$49.55,4.8,27,Not found,None,False,False
Timothy A.,$103.24,4.9,309,Not found,None,False,False
Mauricio F.,$51.62,4.5,16,Not found,None,True,False
