name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Vasyl N.,$62.97,5.0,36,Not found,None,False,False
Yuriy F.,$70.20,4.9,436,Not found,None,True,True
Steve O.,$76.39,5.0,308,Not found,None,False,False
David M.,$64,5.0,66,Not found,None,True,False
Nazarii O.,$62.97,5.0,122,Not found,None,False,False
Roman M.,$74.33,4.9,237,Not found,None,False,False
Jahangir Z.,$69.17,4.9,65,Not found,None,False,True
Rapkhat A.,$45.42,Not found,Not found,Not found,None,True,False
Aiur G.,$56.78,4.9,104,Not found,None,False,False
Mauricio F.,$51.62,4.5,16,Not found,None,True,False
Ihor I.,$36.13,5.0,6,Not found,None,True,False
Miguel C.,$54.71,5.0,5,Not found,None,False,False
Andrew G.,$50.58,5.0,4,Not found,None,False,False
Ziyaad L.,$61.94,5.0,55,Not found,None,False,False
