name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Denis P.,$82.59,5.0,451,Not found,None,True,False
Alisher K.,$98.07,5.0,894,Not found,None,False,True
Paul K.,$82.59,4.9,368,Not found,None,False,False
Vasyl N.,$62.97,5.0,40,Not found,None,False,False
Aleksandr I.,$79.49,5.0,233,Not found,None,False,True
Didier A.,$84.65,5.0,197,Not found,None,False,False
Roman M.,$78.46,4.9,240,Not found,None,False,False
David M.,$71.23,5.0,69,Not found,None,True,False
Youssof S.,$47.49,5.0,21,Not found,None,False,False
Andrei K.,$51.62,5.0,46,Not found,None,False,False
Marcos P.,$87.75,5.0,4,Not found,None,True,False
Pavel N.,$72.26,5.0,516,Not found,None,False,False
Sergei G.,$80.52,5.0,286,Not found,None,False,True
Stepan B.,$75.36,5.0,283,Not found,None,True,False
Stephen H.,$47.49,5.0,96,Not found,None,False,False
