name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Alisher K.,$98.07,5.0,913,Not found,None,False,True
Denis P.,$87.75,5.0,454,Not found,None,True,False
Paul K.,$92.91,4.9,382,Not found,None,False,False
Alex E.,$82.59,5.0,1200,Not found,None,False,True
Artem P.,$77.43,5.0,28,Not found,None,True,False
Sobir S.,$72.26,5.0,437,Not found,None,False,False
Oleksiy Alex R.,$39.23,4.9,105,Not found,None,False,False
Marcos P.,$87.75,5.0,6,Not found,None,True,False
Didier A.,$87.75,5.0,207,Not found,None,False,False
ALEKSANDR K.,$60.91,5.0,65,Not found,None,False,False
Aleksandr L.,$61.94,4.9,40,Not found,None,False,False
Youssof S.,$47.49,5.0,28,Not found,None,False,False
Vasyl N.,$55.75,5.0,51,Not found,None,False,False
Andrei K.,$56.78,5.0,68,Not found,None,False,False
Pavel N.,$72.26,5.0,525,Not found,None,False,False
