name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Michael C.,$85.69,4.9,1728,Not found,None,False,False
SERHII S.,$80.52,5.0,225,Not found,None,False,True
Nikita S.,$41.29,5.0,44,Not found,None,True,False
Viktor R.,$72.26,5.0,183,Not found,None,False,False
Andrii K.,$56.78,5.0,32,Not found,None,False,False
SERGII K.,$41.29,5.0,2,Not found,None,True,False
Ihor I.,$39.23,5.0,6,Not found,None,False,False
Tj V.,$82.59,4.9,62,Not found,None,True,True
Jobany N.,$71.23,5.0,28,Not found,None,True,False
Stanley C.,$70.20,4.9,232,Not found,None,False,False
Roman M.,$69.17,4.9,237,Not found,None,False,False
David M.,$67.10,5.0,66,Not found,None,True,False
Oleksandr K.,$77.43,5.0,217,Not found,None,False,False
Elmar S.,$46.45,5.0,4,Not found,None,True,False
Richard N.,$81.56,5.0,616,Not found,None,False,True
