name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Aleksandr K.,$87.75,5.0,183,Not found,None,False,False
Michael C.,$85.69,4.9,1737,Not found,None,False,False
Dmitrii B.,$85.69,5.0,817,Not found,None,False,False
Yelfry S.,$51.62,5.0,18,Not found,None,False,False
Cristian G.,$57.81,5.0,13,Not found,None,True,False
SERHII S.,$80.52,5.0,233,Not found,None,False,False
Andrii P.,$44.39,5.0,5,Not found,None,False,False
Yuri Z.,$87.75,5.0,1620,Not found,None,False,False
Stanley C.,$70.20,4.9,232,Not found,None,False,True
Alexander M.,$51.62,5.0,12,Not found,None,False,False
Davit K.,$45.42,5.0,5,Not found,None,False,False
Brian S.,$53.68,5.0,20,Not found,None,False,False
Alex B.,$72.26,5.0,96,Not found,None,False,False
Oleksandr K.,$77.43,5.0,219,Not found,None,False,False
Fios K.,$45.42,5.0,3,Not found,None,True,False
