name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Aleksandr K.,$87.75,5.0,194,Not found,None,False,False
Nika M.,$60.91,5.0,36,Not found,None,False,False
Michael C.,$86.72,4.9,1756,Not found,None,False,False
Dmitrii B.,$85.69,5.0,831,Not found,None,False,False
Yuri Z.,$77.43,5.0,1632,Not found,None,False,False
Viktor R.,$75.36,5.0,224,Not found,None,False,False
SERHII S.,$82.59,5.0,243,Not found,None,False,False
Eduard B.,$87.75,5.0,561,Not found,None,False,False
Sulayman G.,$98.07,5.0,370,Not found,None,False,False
Andrii K.,$64,5.0,86,Not found,None,False,False
Tomas P.,$38.19,4.9,17,Not found,None,False,False
Vas P.,$30.97,5.0,4,Not found,None,False,False
Nikita O.,$61.94,4.9,140,Not found,None,False,False
Oleksiy Alex R.,$39.23,4.9,105,Not found,None,False,False
Stanley C.,$75.36,4.9,233,Not found,None,False,True
