name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Timur I.,$80.52,5.0,76,Not found,None,False,True
Max N.,$57.81,4.9,9,Not found,None,False,False
Artem P.,$78.46,5.0,15,Not found,None,False,False
Sergei G.,$67.10,5.0,204,Not found,None,False,False
Yerlan T.,$77.43,4.9,211,Not found,None,False,False
Nick R.,$103.24,5.0,34,Not found,None,False,False
Jeffrey R.,$72.26,4.8,335,Not found,None,False,False
Yelnar N.,$62.97,5.0,17,Not found,None,False,False
Shaun M.,$72.26,5.0,14,Not found,None,False,False
Patrice J.,$62.97,5.0,256,Not found,None,False,False
Maksim G.,$57.81,5.0,1,Not found,None,False,False
JUSTIN O.,$73.30,5.0,2,Not found,None,False,False
Shawn G.,$56.78,Not found,Not found,Not found,None,False,False
Carlos M.,$82.59,4.9,35,Not found,None,True,False
Arnett D.,$48.52,4.8,11,Not found,None,False,False
Artur V.,$206.48,Not found,Not found,Not found,None,False,False
Roman E.,$51.62,5.0,1,Not found,None,False,False
Samuel A.,$51.62,4.9,24,Not found,None,True,False
Stylianos K.,$82.59,4.9,1473,Not found,None,False,False
Jean Y.,$123.89,5.0,2,Not found,None,False,False
Eliza Z.,$51.62,5.0,1,Not found,None,False,False
Timothy A.,$92.91,4.9,270,Not found,None,False,False
Yaroslav U.,$67.10,5.0,1,Not found,None,False,False
Chris B.,$56.78,4.6,23,Not found,None,False,False
Peter K.,$58.84,5.0,4,Not found,None,False,False
Christian  T.,$41.29,4.4,22,Not found,None,False,False
Pavel P.,$67.10,5.0,3,Not found,None,False,False
Peter M.,$74.33,4.2,11,Not found,None,False,False
Ricardo E.,$103.24,4.9,49,Not found,None,True,False
Oleg S.,$98.07,4.9,258,Not found,None,False,False
Carlens D.,$46.45,5.0,9,Not found,None,False,False
Nikolay K.,$516.20,5.0,32,Not found,None,True,False
Raffi G.,$72.26,5.0,238,Not found,None,False,False
Carlos S.,$72.26,5.0,113,Not found,None,False,False
Kane J.,$51.62,Not found,Not found,Not found,None,False,False
Vahe C.,$72.26,4.9,279,Not found,None,False,False
Ilirjan H.,$165.18,5.0,3,Not found,None,False,False
George F.,$62.97,5.0,106,Not found,None,False,False
Aleksei R.,$56.78,5.0,2,Not found,None,False,False
Ewart C.,$46.45,3.7,3,Not found,None,False,False
Tamerlan Z.,$72.26,5.0,99,Not found,None,False,False
Erik H.,$206.48,5.0,1,Not found,None,True,False
Omesh K.,$55.75,5.0,22,Not found,None,False,False
Kareem G.,$72.26,4.9,8,Not found,None,False,False
Charles S.,$53.68,5.0,47,Not found,None,True,False
Aleksandr G.,$56.78,5.0,2,Not found,None,False,False
Cardell W.,$51.62,5.0,6,Not found,None,False,False
Lamar B.,$54.71,4.7,22,Not found,None,False,False
Leonel C.,$118.72,5.0,2,Not found,None,False,False
Rodney C.,$71.23,4.9,177,Not found,None,False,False
Russell B.,$87.75,5.0,1915,Not found,None,False,False
Jazab H.,$129.05,Not found,Not found,Not found,None,False,False
Otar A.,$64,Not found,Not found,Not found,None,True,False
Adem R.,$56.78,Not found,Not found,Not found,None,True,False
Asan M.,$37.16,Not found,Not found,Not found,None,False,False
Cristian R.,$51.62,4.1,7,Not found,None,False,False
Vandal L.,$52.65,Not found,Not found,Not found,None,True,False
Isaiah S.,$55.75,4.7,3,Not found,None,False,False
Starlyn G.,$20.64,5.0,1,Not found,None,False,False
Edgar S.,$67.10,Not found,Not found,Not found,None,True,False
Juan C.,$46.45,Not found,Not found,Not found,None,False,False
Andre D.,$57.81,5.0,2,Not found,None,False,False
Roman D.,$32,5.0,1,Not found,None,False,False
Ulugbek Z.,$47.49,Not found,Not found,Not found,None,False,False
Gregory S.,$51.62,4.8,68,Not found,None,True,False
Aivaz G.,$72.26,4.9,200,Not found,None,False,False
Talha A.,$56.78,5.0,2,Not found,None,False,False
Balzhin S.,$67.10,4.9,308,Not found,None,True,False
