name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Roman A.,$98.07,4.9,573,Not found,None,False,False
Yerlan T.,$78.46,4.9,283,Not found,None,False,True
Timur I.,$72.26,5.0,131,Not found,None,False,False
Robert K.,$77.43,5.0,283,Not found,None,False,False
Sergei G.,$72.26,5.0,283,Not found,None,False,True
Mahendra S.,$66.07,5.0,1174,Not found,None,False,False
Mikhail M.,$82.59,4.9,94,Not found,None,True,False
Yuri M.,$62.97,4.6,78,Not found,None,False,False
Dilshod E.,$61.94,4.9,105,Not found,None,False,False
Brian S.,$47.49,5.0,17,Not found,None,False,False
Isaiah S.,$67.10,5.0,95,Not found,None,False,False
Andrii N.,$41.29,5.0,4,Not found,None,True,False
Matthew  F.,$38.19,5.0,1,Not found,None,False,False
Vladimir B.,$69.17,2.5,2,Not found,None,True,False
Russell B.,$84.65,5.0,2143,Not found,None,False,False
