name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Yerlan T.,$78.46,4.9,284,Not found,None,False,True
Timur I.,$72.26,5.0,132,Not found,None,False,False
Robert K.,$77.43,5.0,283,Not found,None,False,False
Roman A.,$98.07,4.9,575,Not found,None,False,False
Sergei G.,$72.26,5.0,283,Not found,None,False,True
Pavel N.,$72.26,5.0,516,Not found,None,False,True
Brian S.,$47.49,5.0,18,Not found,None,False,False
Aiur G.,$65.04,4.9,106,Not found,None,False,False
Mahendra S.,$66.07,5.0,1176,Not found,None,False,False
Yuri M.,$62.97,4.6,78,Not found,None,False,False
Mikhail M.,$82.59,4.9,95,Not found,None,True,False
Russell B.,$84.65,5.0,2146,Not found,None,False,False
Christian  T.,$41.29,4.5,50,Not found,None,False,False
Matthew  F.,$38.19,5.0,5,Not found,None,False,False
Dilshod E.,$61.94,4.9,109,Not found,None,False,False
