name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
TIMUR M.,$98.07,5.0,1675,3786,3749,True,False
MYKHAYLO M.,$77.43,5.0,693,1729,1719,True,False
Aleksandr P.,$77.43,5.0,1325,3039,3008,True,False
Vasilii S.,$85.69,5.0,1187,2413,2473,True,False
ALDAR T.,$67.10,5.0,836,842,1596,True,False
Maksim K.,$66.07,5.0,357,642,688,True,False
Anatolii G.,$82.59,5.0,744,1603,1604,True,False
Mykola P.,$77.43,5.0,1724,3089,3095,True,False
Oleksandr S.,$41.29,5.0,51,89,83,False,False
Bair B.,$67.10,5.0,327,543,522,True,False
Solbon S.,$61.94,5.0,156,247,214,True,False
Bayarto D.,$56.78,5.0,461,539,852,True,False
Andrei K.,$61.94,5.0,98,172,162,True,False
Art D.,$58.84,5.0,224,437,410,False,False
Evgenii U.,$51.62,5.0,144,313,288,True,False
