name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Raksha B.,$98.07,5.0,1490,Not found,None,False,False
Timur Y.,$113.56,5.0,743,Not found,None,False,False
Roman M.,$103.24,5.0,565,Not found,None,False,False
Gints J.,$82.59,5.0,396,Not found,None,False,False
Nozimbek B.,$103.24,4.9,336,Not found,None,False,True
Aleksandr Z.,$92.91,5.0,204,Not found,None,False,True
Orkhan G.,$108.40,4.9,873,Not found,None,False,False
Balzhinima R.,$92.91,5.0,441,Not found,None,False,False
Vitalii I.,$98.07,5.0,1528,Not found,None,False,False
Balzhinima A.,$98.07,5.0,1229,Not found,None,False,False
Ivan P.,$87.75,5.0,119,Not found,None,False,False
Vladislav L.,$92.91,5.0,396,Not found,None,False,True
Bulat N.,$103.24,5.0,635,Not found,None,False,True
Aiur Z.,$103.24,5.0,606,Not found,None,False,False
Vladimir S.,$103.24,5.0,214,Not found,None,False,True
