name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Vladimir S.,$103.24,5.0,214,Not found,None,False,True
Jay H.,$56.78,4.9,64,Not found,None,False,True
Ezekiel W.,$103.24,5.0,174,Not found,None,False,True
Aaron M.,$72.26,4.9,121,Not found,None,False,False
Igor B.,$77.43,4.9,636,Not found,None,False,False
Lionel L.,$103.24,5.0,1006,Not found,None,False,False
Richard N.,$81.56,5.0,1659,Not found,None,True,True
Tianxi W.,$92.91,5.0,1757,Not found,None,False,False
Chev F.,$56.78,4.9,814,Not found,None,False,True
Ilgam M.,$92.91,5.0,145,Not found,None,False,False
Michael C.,$84.65,5.0,943,Not found,None,False,True
Oleg I.,$61.94,5.0,18,Not found,None,False,False
Tj V.,$82.59,5.0,70,Not found,None,False,True
Erdni B.,$77.43,5.0,176,Not found,None,False,True
Peter B.,$86.72,4.9,310,Not found,None,False,False
