name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Dmitrii T.,$92.91,5.0,1227,Not found,None,False,False
Slava T.,$92.91,5.0,506,Not found,None,False,True
Bilikto B.,$61.94,4.9,129,Not found,None,False,False
Vladimir L.,$61.94,5.0,158,Not found,None,False,False
Oleksandr M.,$92.91,5.0,769,Not found,None,False,False
Artem K.,$61.94,5.0,87,Not found,None,False,False
Ryskeldi Z.,$61.94,4.9,41,Not found,None,False,False
Aziz N.,$67.10,4.9,1513,Not found,None,False,True
Vitalii B.,$92.91,5.0,192,Not found,None,False,True
Konstantin K.,$82.59,5.0,667,Not found,None,False,False
Erdenibelik B.,$61.94,4.8,53,Not found,None,False,True
Andranik A.,$56.78,5.0,15,Not found,None,False,False
Max I.,$78.46,5.0,770,Not found,None,False,False
Aslamjon H.,$41.29,5.0,21,Not found,None,False,False
Oleg P.,$51.62,4.9,61,Not found,None,False,False
Alexey N.,$77.43,5.0,83,Not found,None,False,False
Peter B.,$79.49,4.9,365,Not found,None,False,False
Segundo T.,$39.23,Not found,Not found,Not found,None,False,False
Bruce F.,$98.07,4.9,96,Not found,None,False,True
Vitalii K.,$25.81,Not found,Not found,Not found,None,False,False
Abraham P.,$67.10,4.8,24,Not found,None,False,False
Greg M.,$87.75,5.0,1010,Not found,None,False,True
Barrington F.,$82.59,5.0,358,Not found,None,False,False
Ajet B.,$58.84,5.0,8,Not found,None,False,False
Kirill B.,$82.59,5.0,246,Not found,None,False,False
Chance D.,$73.30,4.9,188,Not found,None,False,True
Ben G.,$30.97,3.7,4,Not found,None,False,False
Roman A.,$72.26,4.9,508,Not found,None,True,False
Sergei G.,$72.26,5.0,273,Not found,None,False,True
Andrei S.,$76.39,5.0,381,Not found,None,False,True
Igor Z.,$82.59,5.0,649,Not found,None,False,False
Dmitrii K.,$75.36,5.0,247,Not found,None,False,True
Viktor L.,$66.07,5.0,46,Not found,None,False,False
Aleks S.,$56.78,4.9,64,Not found,None,False,False
Aivaz G.,$92.91,5.0,233,Not found,None,False,False
Brad B.,$77.43,5.0,89,Not found,None,False,False
Edward O.,$27.87,5.0,1,Not found,None,False,False
Aiur G.,$61.94,4.9,87,Not found,None,False,False
An K.,$51.62,5.0,11,Not found,None,False,False
Roneil M.,$77.43,4.7,139,Not found,None,True,False
Jeffrey R.,$66.07,4.8,349,Not found,None,False,False
Mike S.,$87.75,4.9,191,Not found,None,False,False
Emmanuel A.,$61.94,4.9,9,Not found,None,True,False
Rodney C.,$68.13,4.9,185,Not found,None,False,True
David F.,$42.32,4.8,5,Not found,None,False,False
Andrei S.,$66.07,5.0,31,Not found,None,False,False
Richard N.,$81.56,5.0,561,Not found,None,False,False
Kevin C.,$75.36,4.8,25,Not found,None,False,False
William S.,$87.75,4.9,470,Not found,None,False,False
Andrew L.,$72.26,5.0,264,Not found,None,False,False
Abdullah A.,$61.94,4.9,12,Not found,None,True,False
Giorgi P.,$41.29,5.0,2,Not found,None,True,False
Antonio S.,$51.62,5.0,59,Not found,None,True,False
OLEKSII Y.,$38.19,Not found,Not found,Not found,None,False,False
Giovanni C.,$36.13,4.9,29,Not found,None,False,False
Viktor N.,$56.78,4.8,63,Not found,None,False,False
Isaiah S.,$61.94,5.0,51,Not found,None,False,False
Norman D.,$52.65,4.8,54,Not found,None,True,False
Steven P.,$41.29,5.0,6,Not found,None,False,False
Yerlan T.,$72.26,4.9,246,Not found,None,True,False
Jose M.,$67.10,5.0,241,Not found,None,False,False
Sergei G.,$68.13,5.0,243,Not found,None,False,False
Sobir S.,$77.43,5.0,361,Not found,None,False,False
Alex V.,$40.26,5.0,2,Not found,None,False,False
Mustafa K.,$40.26,Not found,Not found,Not found,None,True,False
Valentyn M.,$54.71,4.9,294,Not found,None,False,False
Thaddeus N.,$50.58,5.0,6,Not found,None,False,False
Mikhail S.,$82.59,4.9,75,Not found,None,False,False
Anton R.,$40.26,Not found,Not found,Not found,None,False,False
Roman C.,$67.10,4.9,219,Not found,None,False,False
Ernest E.,$52.65,5.0,1,Not found,None,False,False
Timothy M.,$66.07,5.0,30,Not found,None,False,False
Jessica R.,$67.10,5.0,195,Not found,None,False,False
Carlos S.,$81.56,5.0,121,Not found,None,False,False
Timur I.,$75.36,5.0,101,Not found,None,False,False
Reis G.,$51.62,5.0,46,Not found,None,False,False
Amir D.,$46.45,5.0,48,Not found,None,False,False
Benjamin M.,$64,4.8,138,Not found,None,False,False
Melvin M.,$50.58,5.0,11,Not found,None,False,False
Vicko M.,$41.29,5.0,7,Not found,None,False,False
Quran B.,$70.20,5.0,10,Not found,None,True,False
Aleksandr D.,$59.88,5.0,67,Not found,None,False,False
Rustam M.,$46.45,5.0,1,Not found,None,True,False
Roman I.,$74.33,5.0,613,Not found,None,False,False
Cristian R.,$72.26,4.2,8,Not found,None,False,False
Dmitrii S.,$103.24,5.0,573,Not found,None,False,False
Mykola  B.,$72.26,4.8,41,Not found,None,False,False
Tamerlan Z.,$59.88,5.0,101,Not found,None,False,False
Sedricko M.,$86.72,4.8,170,Not found,None,True,False
Nazar S.,$46.45,Not found,Not found,Not found,None,False,False
Ruysdael S.,$51.62,Not found,Not found,Not found,None,False,False
Sambu D.,$53.68,4.8,38,Not found,None,False,False
Sergey M.,$87.75,5.0,51,Not found,None,False,False
Aleksandr G.,$72.26,5.0,6,Not found,None,False,False
Ivan P.,$56.78,5.0,33,Not found,None,False,False
Christian  T.,$51.62,4.3,26,Not found,None,False,False
Charles S.,$67.10,5.0,47,Not found,None,False,False
Issac M.,$72.26,4.9,26,Not found,None,False,False
Adebanjo F.,$51.62,5.0,1,Not found,None,False,False
Konstantin S.,$67.10,5.0,80,Not found,None,False,False
Adam G.,$61.94,4.7,14,Not found,None,True,False
Andrii D.,$51.62,3.5,4,Not found,None,False,False
Miguel P.,$48.52,Not found,Not found,Not found,None,False,False
Alexandro L.,$40.26,5.0,1,Not found,None,False,False
Elvek S.,$61.94,4.9,16,Not found,None,False,False
Ricardo E.,$82.59,4.9,50,Not found,None,True,False
Ivan S.,$103.24,4.9,127,Not found,None,False,False
Dilshod E.,$108.40,5.0,2,Not found,None,False,False
Dmytro T.,$92.91,5.0,53,Not found,None,False,False
Chris B.,$61.94,4.6,25,Not found,None,False,False
Courtney L.,$55.75,5.0,1,Not found,None,False,False
Roman L.,$48.52,4.7,12,Not found,None,False,False
Jose H.,$92.91,5.0,4,Not found,None,False,False
Meierodzhiddin K.,$51.62,Not found,Not found,Not found,None,False,False
Lamar B.,$60.91,4.7,22,Not found,None,False,False
Ricky M.,$41.29,Not found,Not found,Not found,None,False,False
Terrel A.,$123.89,5.0,547,Not found,None,False,False
Patrick D.,$72.26,4.9,188,Not found,None,False,False
Lasha M.,$46.45,Not found,Not found,Not found,None,False,False
Yaroslav U.,$51.62,5.0,1,Not found,None,False,False
Ruben P.,$61.94,Not found,Not found,Not found,None,False,False
Vlad T.,$48.52,Not found,Not found,Not found,None,False,False
Juan E.,$129.05,4.9,55,Not found,None,False,False
Danny Z.,$92.91,5.0,153,Not found,None,False,False
Roman S.,$53.68,Not found,Not found,Not found,None,True,False
Jose S.,$41.29,Not found,Not found,Not found,None,False,False
Yurii Z.,$52.65,4.4,7,Not found,None,True,False
Afrim I.,$46.45,4.6,41,Not found,None,False,False
Rory T.,$72.26,5.0,13,Not found,None,False,False
Kibaale M.,$41.29,5.0,2,Not found,None,False,False
Carlens D.,$46.45,5.0,10,Not found,None,False,False
Izat I.,$61.94,Not found,Not found,Not found,None,False,False
Anthony M.,$46.45,4.8,72,Not found,None,False,False
Erdem K.,$103.24,5.0,7,Not found,None,True,False
Juan C.,$46.45,Not found,Not found,Not found,None,False,False
Andre D.,$51.62,5.0,2,Not found,None,False,False
Jerome M.,$46.45,Not found,Not found,Not found,None,False,False
Matthew E.,$67.10,4.8,13,Not found,None,False,False
Farrukh K.,$56.78,Not found,Not found,Not found,None,False,False
Shaikh A.,$103.24,5.0,1,Not found,None,False,False
Andrei K.,$49.55,Not found,Not found,Not found,None,False,False
Mykola R.,$67.10,5.0,2,Not found,None,True,False
Don W.,$165.18,4.7,19,Not found,None,True,False
Igor S.,$56.78,5.0,1,Not found,None,False,False
Baruch S.,$61.94,4.9,319,Not found,None,False,False
Carlington B.,$154.86,3.6,5,Not found,None,True,False
Vincent R.,$51.62,5.0,28,Not found,None,False,False
