name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Nikita O.,$72.26,4.9,130,Not found,None,False,True
Peter B.,$87.75,4.9,396,Not found,None,False,True
Dilshod E.,$64,4.9,105,Not found,None,False,False
Chingis Z.,$51.62,5.0,85,Not found,None,False,False
Denny G.,$72.26,5.0,30,Not found,None,False,False
Mustafa K.,$78.46,5.0,57,Not found,None,False,False
Aivaz G.,$92.91,5.0,289,Not found,None,False,True
Evgeny R.,$45.42,5.0,1,Not found,None,False,False
Bruce F.,$98.07,4.9,126,Not found,None,False,True
Aleksandr D.,$56.78,4.8,132,Not found,None,False,False
Elmar S.,$46.45,5.0,4,Not found,None,True,False
Merdan L.,$87.75,4.9,372,Not found,None,True,False
Barrington F.,$77.43,5.0,392,Not found,None,False,False
Richard N.,$81.56,5.0,616,Not found,None,True,False
William P.,$41.29,4.0,2,Not found,None,True,False
