name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Dmitrii T.,$98.07,5.0,1618,Not found,None,False,True
Bilikto B.,$82.59,4.9,239,Not found,None,False,False
Viacheslav T.,$98.07,5.0,654,Not found,None,False,False
Vitalii B.,$98.07,5.0,274,Not found,None,False,False
Max I.,$82.59,5.0,871,Not found,None,False,True
Michael W.,$72.26,4.9,48,Not found,None,True,False
Dilshod E.,$87.75,4.9,116,Not found,None,False,False
Reynaldo T.,$42.32,5.0,5,Not found,None,False,False
Stepan B.,$86.72,5.0,284,Not found,None,True,True
Sergei K.,$92.91,5.0,578,Not found,None,False,False
Aleksandr D.,$74.33,4.8,141,Not found,None,False,False
Greg M.,$108.40,5.0,1049,Not found,None,False,True
Mauricio F.,$36.13,4.6,20,Not found,None,True,False
Randolph H.,$129.05,4.9,708,Not found,None,False,False
Konstantin K.,$103.24,5.0,762,Not found,None,False,False
