name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Aleksandr K.,$83.62,5.0,194,Not found,None,False,False
Andrey M.,$87.75,4.8,181,Not found,None,True,True
Denys R.,$72.26,5.0,26,Not found,None,False,False
Valentyn M.,$87.75,4.9,361,Not found,None,False,False
Bair K.,$92.91,5.0,53,Not found,None,True,False
Danny Z.,$92.91,5.0,169,Not found,None,False,False
Oleksiy Alex R.,$39.23,4.9,105,Not found,None,False,False
Andrea V.,$46.45,5.0,4,Not found,None,False,False
Oleg S.,$56.78,5.0,3,Not found,None,True,False
Baron C.,$30.97,4.8,22,Not found,None,False,False
Emmanuel O.,$46.45,5.0,1,Not found,None,False,False
Herman C.,$51.62,4.3,6,Not found,None,False,False
Sergei K.,$92.91,5.0,578,Not found,None,False,False
Victor S.,$87.75,4.9,35,Not found,None,True,False
Jameel C.,$53.68,4.9,90,Not found,None,False,False
