name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Erzhan K.,$165.18,5.0,1717,Not found,None,False,True
Aleksandr B.,$123.89,5.0,208,Not found,None,False,False
Dmitrii A.,$81.56,5.0,399,Not found,None,False,False
Bair B.,$113.56,5.0,598,Not found,None,False,False
Bulat N.,$103.24,5.0,637,Not found,None,False,False
AIUR T.,$118.72,5.0,322,Not found,None,False,False
German B.,$113.56,5.0,1014,Not found,None,False,False
Volodymyr K.,$84.65,5.0,215,Not found,None,False,True
Aleksandr T.,$82.59,5.0,745,Not found,None,False,False
Eugene B.,$84.65,5.0,468,Not found,None,False,True
Vladimir S.,$103.24,5.0,220,Not found,None,False,True
Alex K.,$77.43,5.0,127,Not found,None,False,False
Ilgam M.,$79.49,5.0,145,Not found,None,False,False
Eduard G.,$80.52,5.0,1383,Not found,None,False,True
Elbek B.,$83.62,5.0,165,Not found,None,False,False
