name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Erzhan K.,$165.18,5.0,1717,Not found,None,False,True
Aleksandr B.,$123.89,5.0,208,Not found,None,False,False
Dmitrii A.,$81.56,5.0,399,Not found,None,False,False
Lachin M.,$98.07,5.0,873,Not found,None,False,False
Eugene B.,$84.65,5.0,468,Not found,None,False,True
Bair B.,$113.56,5.0,598,Not found,None,False,False
Bulat N.,$103.24,5.0,637,Not found,None,False,False
AIUR T.,$118.72,5.0,322,Not found,None,False,False
Elbek B.,$83.62,5.0,165,Not found,None,False,False
German B.,$113.56,5.0,1014,Not found,None,False,False
Almaz A.,$81.56,4.9,128,Not found,None,False,False
Volodymyr K.,$84.65,5.0,215,Not found,None,False,True
Reed M.,$71.23,4.9,1071,Not found,None,False,True
Sergei G.,$87.75,5.0,780,Not found,None,False,False
IURII S.,$103.24,5.0,886,Not found,None,False,True
