name,hourly_rate,review_rating,review_count,furniture_tasks,overall_tasks,two_hour_minimum,elite_status
Sergei P.,$80.52,5.0,201,Not found,None,False,False
Marc P.,$48.52,4.9,133,Not found,None,False,False
Roman C.,$72.26,4.9,203,Not found,None,False,False
Isaiah S.,$57.81,5.0,37,Not found,None,False,False
Max I.,$74.33,4.9,748,Not found,None,False,True
Terrel A.,$123.89,5.0,542,Not found,None,False,True
Nick R.,$41.29,5.0,6,Not found,None,False,False
Sobir S.,$75.36,5.0,354,Not found,None,False,True
Ruslan S.,$69.17,5.0,7,Not found,None,True,False
Igor Z.,$74.33,5.0,638,Not found,None,False,False
Lenur Y.,$56.78,4.9,138,Not found,None,False,False
Sorbon Q.,$51.62,5.0,2,Not found,None,False,False
Stylianos K.,$82.59,4.9,1490,Not found,None,False,False
Roman A.,$56.78,4.9,500,Not found,None,True,False
Jay C.,$48.52,Not found,Not found,Not found,None,False,False
Russell B.,$79.49,5.0,1991,Not found,None,False,False
Michael S.,$55.75,5.0,3,Not found,None,False,False
Brian A.,$56.78,4.4,7,Not found,None,False,False
Noakh T.,$60.91,4.8,61,Not found,None,False,False
Yerlan T.,$61.94,4.9,233,Not found,None,False,False
Valentyn M.,$69.17,4.9,277,Not found,None,False,False
Hilaire M.,$42.32,4.5,8,Not found,None,False,False
Phillip W.,$42.32,5.0,16,Not found,None,False,False
Mauricio S.,$61.94,4.6,14,Not found,None,False,False
Artem K.,$50.58,5.0,29,Not found,None,False,False
Manny S.,$41.29,4.4,7,Not found,None,False,False
Chris B.,$61.94,4.6,25,Not found,None,False,False
Aiushi B.,$56.78,4.8,36,Not found,None,False,False
Paul K.,$67.10,4.9,306,Not found,None,False,False
Artem P.,$68.13,5.0,40,Not found,None,False,False
Andrew L.,$61.94,5.0,259,Not found,None,False,False
Alex E.,$65.04,5.0,1095,Not found,None,False,False
Sergei A.,$64,5.0,27,Not found,None,False,False
Aleksandr G.,$46.45,5.0,2,Not found,None,False,False
Aiur G.,$61.94,4.9,86,Not found,None,False,False
Ivan P.,$69.17,5.0,13,Not found,None,True,False
ALEX B.,$48.52,5.0,1,Not found,None,True,False
Richie T.,$134.21,4.9,382,Not found,None,True,False
Eugene C.,$61.94,4.9,105,Not found,None,False,False
Jobany N.,$61.94,5.0,9,Not found,None,False,False
Rodney C.,$62.97,4.9,177,Not found,None,False,False
Christian  T.,$51.62,4.4,22,Not found,None,False,False
Jeffrey R.,$61.94,4.8,341,Not found,None,False,False
Andrii M.,$56.78,Not found,Not found,Not found,None,False,False
Benjamin M.,$67.10,4.8,136,Not found,None,True,False
Emmanuel A.,$45.42,4.9,8,Not found,None,True,False
Peter M.,$72.26,4.7,15,Not found,None,True,False
Seth M.,$55.75,5.0,131,Not found,None,True,False
Oleksandr V.,$51.62,4.9,40,Not found,None,True,False
Marc S.,$71.23,4.9,148,Not found,None,False,False
Barrington F.,$72.26,5.0,356,Not found,None,False,False
George F.,$62.97,5.0,107,Not found,None,False,False
Ryskeldi Z.,$45.42,5.0,10,Not found,None,False,False
Naziah A.,$56.78,4.9,16,Not found,None,False,False
Denis K.,$56.78,4.9,607,Not found,None,False,False
Richard N.,$81.56,5.0,546,Not found,None,False,False
Andrei S.,$64,5.0,27,Not found,None,False,False
Aslamjon H.,$36.13,Not found,Not found,Not found,None,False,False
Arsalan B.,$34.06,5.0,7,Not found,None,False,False
Angel M.,$37.16,5.0,5,Not found,None,False,False
Brandon P.,$66.07,4.9,40,Not found,None,False,False
Erdenibelik B.,$48.52,5.0,27,Not found,None,True,False
Timur I.,$67.10,5.0,93,Not found,None,False,False
Mikhail M.,$61.94,4.9,91,Not found,None,False,False
George Y.,$46.45,Not found,Not found,Not found,None,False,False
Amir D.,$61.94,5.0,47,Not found,None,False,False
Suren Z.,$67.10,5.0,5,Not found,None,True,False
Maksim P.,$46.45,Not found,Not found,Not found,None,True,False
Oleg B.,$61.94,5.0,10,Not found,None,False,False
David M.,$56.78,5.0,41,Not found,None,True,False
